City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,puerto ayora,-0.7393,-90.3518,85.96,89,75,8.01,EC,broken clouds
82,haiku-pauwela,20.9219,-156.3051,82.42,60,20,23.02,US,few clouds
83,colonia,50.9333,6.95,74.97,56,0,2.3,DE,clear sky
84,tiksi,71.6872,128.8694,49.48,90,99,10.83,RU,overcast clouds
85,arraial do cabo,-22.9661,-42.0278,71.56,83,0,14.97,BR,clear sky
86,san marcos,33.1434,-117.1661,97.83,61,0,11.5,US,clear sky
87,dudinka,69.4058,86.1778,49.62,74,37,7.61,RU,scattered clouds
88,enewetak,11.3474,162.3373,82.6,78,40,11.81,MH,scattered clouds
89,salinas,36.6777,-121.6555,88.02,65,0,13.8,US,clear sky
90,winnemucca,40.973,-117.7357,89.65,10,0,16.11,US,clear sky
91,berdigestyakh,62.0989,126.6992,62.42,72,43,4.9,RU,scattered clouds
92,ilulissat,69.2167,-51.1,51.82,76,75,4.61,GL,broken clouds
93,yellowknife,62.456,-114.3525,66.72,37,75,20.71,CA,broken clouds
94,usogorsk,63.4106,48.6872,44.28,85,45,3.85,RU,scattered clouds
95,mount gambier,-37.8333,140.7667,49.32,94,18,5.03,AU,few clouds
96,lihue,21.9789,-159.3672,81.99,68,20,19.57,US,light rain
97,neiafu,-18.65,-173.9833,77.68,73,75,8.05,TO,broken clouds
98,invercargill,-46.4,168.35,44.44,77,34,5.77,NZ,scattered clouds
99,whitehorse,60.7161,-135.0538,75.09,37,75,12.66,CA,smoke
100,magadan,59.5667,150.8,51.53,62,99,9.28,RU,overcast clouds
101,aasiaat,68.7098,-52.8699,39.15,94,100,5.06,GL,overcast clouds
102,bilibino,68.0546,166.4372,52.0,75,100,1.74,RU,light rain
103,arkalyk,50.2486,66.9114,76.41,34,0,9.57,KZ,clear sky
104,kerikeri,-35.2268,173.9474,51.91,94,8,3.0,NZ,clear sky
105,malente,54.1712,10.5552,64.15,87,56,7.14,DE,broken clouds
106,mafra,-26.1114,-49.8053,61.88,99,100,1.7,BR,moderate rain
107,awjilah,29.1081,21.2869,81.01,54,0,14.72,LY,clear sky
108,hadibu,12.65,54.0333,78.91,78,80,20.74,YE,broken clouds
109,khark,29.2614,50.3306,90.37,72,1,9.69,IR,clear sky
110,ubari,26.5921,12.7805,88.75,20,0,8.63,LY,clear sky
111,west island,-12.1568,96.8225,78.78,83,40,14.97,CC,scattered clouds
112,quatre cocos,-20.2078,57.7625,69.1,68,66,8.75,MU,broken clouds
113,koutiala,12.3917,-5.4642,77.49,73,100,3.8,ML,light rain
114,nova sintra,14.8667,-24.7167,72.1,79,15,15.17,CV,few clouds
115,makar'yev,57.8797,43.8069,53.92,88,100,12.55,RU,overcast clouds
116,sitka,57.0531,-135.33,58.89,58,75,11.5,US,broken clouds
117,cidreira,-30.1811,-50.2056,61.68,88,100,9.22,BR,overcast clouds
118,crane,31.3974,-102.3501,102.54,21,0,16.42,US,clear sky
119,richmond hill,43.8711,-79.4372,85.82,47,23,9.04,CA,few clouds
120,mcalester,34.9334,-95.7697,93.02,54,40,3.44,US,scattered clouds
121,la tuque,47.4334,-72.7824,71.85,78,100,3.44,CA,overcast clouds
122,sarmanovo,55.2553,52.5891,84.88,29,53,17.07,RU,broken clouds
123,pisco,-13.7,-76.2167,69.85,78,100,5.75,PE,overcast clouds
124,lazaro cardenas,17.9583,-102.2,85.89,68,60,7.7,MX,broken clouds
125,vorgashor,67.5833,63.95,41.36,68,0,6.31,RU,clear sky
126,kapa'a,22.0752,-159.319,82.72,75,20,19.57,US,light rain
127,shingu,33.7333,135.9833,78.66,90,27,5.75,JP,scattered clouds
128,isafjordur,66.0755,-23.124,54.99,54,62,6.46,IS,broken clouds
